RUS_DOP,RUS_RV2T,RUS_EntropyZ,RUS_EntropyN,RUS_EntropyE,RUS_KurtosisZ,RUS_KurtosisN,RUS_KurtosisE,RUS_SkewZ,RUS_SkewN,RUS_SkewE,RUS_CDZ,RUS_CDN,RUS_CDE,BRR_DOP,BRR_RV2T,BRR_EntropyZ,BRR_EntropyN,BRR_EntropyE,BRR_KurtosisZ,BRR_KurtosisN,BRR_KurtosisE,BRR_SkewZ,BRR_SkewN,BRR_SkewE,BRR_CDZ,BRR_CDN,BRR_CDE,EsSismo
0.187317257,0.511088561,4.740130621,4.609214396,4.65137437,-0.445710339,-0.772088849,-0.733021508,0.050142713,-0.149413324,0.038791723,0.912154486,0.965779087,0.939848671,0.061458325,0.471933553,2.965847085,2.982260432,3.087194941,2.91525294,0.601509274,-0.109873446,0.404122417,0.629479717,0.056794907,0.844115842,0.94841703,0.968779565,1
0.108424978,0.347528739,4.778757103,4.618416002,4.834208878,-0.780579189,-0.923557383,-0.745647353,-0.053496039,0.038374115,0.070895816,0.956007712,0.955846906,0.964472678,0.330713148,0.034879731,1.828773615,3.228671722,2.784494261,-0.56080682,0.298996285,1.247244137,-0.353999555,-0.74905876,0.711440995,0.909553293,0.960303487,0.938998317,0
0.0864443,0.50971813,4.897073742,4.920484398,4.822962175,1.662071874,1.067167727,0.089702103,-0.446151464,-0.253902043,-0.010064567,0.911876233,0.955600591,0.951403299,0.031890737,0.359425402,3.00698658,3.203192605,3.055074567,1.862488092,-0.188085686,-0.320752044,-0.116394603,0.257031105,-0.204588044,0.922236091,0.944594541,0.9477284,1
0.068140478,0.384346009,4.458735568,4.170099784,4.353935766,-0.535137336,0.650756244,-0.146268897,-0.047968658,-0.554223383,0.008416142,0.956581633,0.936332524,0.906548121,0.180734013,0.101602322,2.152447188,2.947179421,2.767667326,-0.243349783,-0.417621513,-0.175247651,0.118166401,0.283615323,0.043651806,0.973847189,0.91376798,0.933056849,0
0.026958964,0.267280027,4.644878531,4.672258311,4.699894673,-0.271733845,0.141002006,-0.56721336,0.030775769,-0.299315057,0.206278371,0.944673574,0.96175992,0.921295775,0.051675203,0.323630728,3.658791593,3.885222006,3.783440619,3.251007843,-0.4448889,-0.401382057,-1.09434142,0.249513846,-0.231391548,0.936132358,0.914079556,0.939204397,1
0.113268444,0.406191811,4.706826145,4.410997005,4.560347986,-0.672255595,-0.251230377,-0.835741791,0.161645451,-0.107187908,0.023131673,0.961268893,0.912676892,0.941702674,0.095482411,0.179410175,2.326363852,2.76310055,2.635092749,-0.237310166,-0.356275526,-0.487803135,0.082382323,-0.048051004,0.093173952,0.953307782,0.948012507,0.925515318,0
0.035498484,0.238614281,4.252991614,4.481575081,4.392472723,-0.969758401,-0.659515925,-0.375307514,-0.243628994,0.101334488,0.097528891,0.965766444,0.968671023,0.945701751,0.097125481,0.495010454,3.214119324,3.16087747,2.901523467,1.161191141,0.289248302,0.443677075,0.670722163,0.227132936,0.215786464,0.873312842,0.936115806,0.949049112,1
0.235122615,0.228003346,4.405764524,4.679189783,4.22520015,-0.603681204,-0.619619111,0.233713833,-0.096221132,0.077391676,-0.178189053,0.936557643,0.949349404,0.943960215,0.174409132,0.084121846,1.90716124,2.717763736,2.651332224,-1.033526854,-0.101338613,-0.935308753,0.014356602,0.118444987,-0.036090748,0.95417852,0.918922108,0.930088095,0
0.20291417,0.541558069,4.578872268,4.316427621,4.518703661,1.604220843,0.451526834,-0.502579018,-0.036590441,0.484025872,0.401787571,0.91742391,0.939872759,0.932165801,0.071624979,0.48168642,3.601555218,3.872019625,3.823750544,8.332349304,3.214754632,4.465276503,1.368091415,0.66420305,-0.816678879,0.758997889,0.927515242,0.890211453,1
0.324028697,0.187678908,3.874159083,3.805466846,4.459081675,-0.540788079,-0.513213343,-0.787462886,0.122093252,-0.074096925,0.040470032,0.872499001,0.966537592,0.942872457,0.29362986,0.074934358,2.978825905,3.77031716,3.586501024,-0.432493099,0.363806042,-0.783238505,0.188005191,0.825777754,0.227800285,0.954651219,0.91713365,0.915513511,0
0.451190562,0.77191172,4.546799604,4.550834304,4.576023966,4.743451726,5.549839216,6.464922407,-0.480592643,0.80196257,0.531179228,0.285494812,0.201764919,0.271992284,0.38467964,0.741685883,3.812362363,3.937038758,3.98215472,5.348107544,6.384851584,4.845101344,0.030472228,-0.076383919,0.605639046,0.304350938,0.411387881,0.437476951,1
0.083221891,0.426763691,3.455824448,3.329143439,3.183485243,-0.929215086,0.043064357,-0.725841523,-0.059011243,0.092769641,0.393970937,0.935153976,0.932706104,0.947274924,0.087703784,0.168033971,2.376042491,2.854036694,2.749277777,-0.4266041,-0.402733757,-0.473908039,-0.067554004,-0.367741868,-0.059828782,0.950619433,0.942427412,0.94073872,0
0.061074625,0.488746689,4.554592831,4.425341567,4.440332358,0.815531596,0.009305489,-0.469038497,-0.065083341,-0.333114128,0.224415498,0.932970179,0.946482044,0.904466852,0.304196998,0.673386776,3.209783398,2.881513025,2.990402923,4.782683793,1.99565414,4.109993303,-0.085047111,-0.812382733,1.14015425,0.773675773,0.899367253,0.915470764,1
0.026066673,0.395802038,4.589772864,4.56431711,4.430438538,-0.279482024,-0.283451584,0.179480826,-0.043548986,-0.104608711,0.66808276,0.954507768,0.934130178,0.943439035,0.123744438,0.155242819,2.037014386,2.337045305,2.57925918,0.087343229,1.110889681,-0.898233357,0.177404112,-0.545693459,0.083079281,0.934904766,0.952950277,0.950491683,0
