Latitude,Longitude,Depth
6.734,-73.088,148.6
6.770,-73.132,147.0
6.823,-73.180,140.4
6.789,-73.092,148.7
6.705,-73.100,138.0
6.747,-73.159,150.9
6.831,-73.124,146.6
6.791,-73.138,148.0
7.368,-73.369,110.9
6.784,-73.127,145.8
6.766,-73.129,150.0
6.806,-73.057,142.0
6.810,-73.143,145.1
6.752,-73.175,144.8
6.803,-73.026,144.0
6.736,-73.140,144.3
6.758,-73.139,144.0
6.805,-73.148,147.5
6.382,-73.591,104.7
6.801,-72.998,141.6
6.797,-73.117,149.5
6.818,-73.135,142.2
6.793,-73.128,139.4
6.025,-74.231,8.0
6.823,-73.201,140.1
6.652,-73.245,149.2
6.541,-73.509,113.4
6.695,-72.968,138.1
6.800,-73.097,146.0
6.751,-73.196,155.4
6.801,-73.151,144.8
6.811,-73.188,143.2
6.875,-72.926,134.2
6.831,-73.183,144.0
7.210,-73.388,111.0
6.827,-73.072,145.3
6.821,-73.174,136.4
6.773,-73.135,142.6
6.799,-73.095,140.0
6.739,-73.103,145.7
6.975,-73.087,145.9
6.712,-73.191,142.7
6.819,-73.151,152.0
6.514,-73.663,102.8
6.790,-73.147,138.0
6.820,-73.127,141.3
6.786,-73.145,147.1
6.797,-73.054,143.9
6.816,-73.171,146.4
6.886,-73.060,153.1
6.806,-73.125,139.5
7.204,-72.958,154.3
6.784,-73.152,143.2
6.723,-73.183,136.0
6.663,-73.145,154.5
6.761,-73.157,146.0
6.851,-73.183,142.0
6.800,-73.173,144.7
6.797,-73.168,140.8
7.545,-73.337,124.0
6.781,-73.048,146.6
6.194,-73.745,102.0
6.763,-73.158,144.6
6.739,-73.155,138.2
7.066,-73.310,121.0
6.718,-73.209,154.7
6.779,-73.171,150.3
6.808,-73.187,138.0
6.735,-73.076,143.2
6.754,-73.167,135.9
6.762,-73.139,151.7
6.789,-73.108,145.4
7.378,-73.192,129.6
6.778,-73.153,145.3
6.746,-73.118,140.8
6.908,-73.387,135.5
6.506,-73.527,110.0
6.917,-73.121,141.3
6.759,-73.119,145.2
6.791,-73.176,145.8
6.807,-73.123,150.9
6.813,-73.138,148.0
6.764,-73.116,150.0
6.799,-73.148,138.8
6.795,-73.071,142.4
6.793,-73.166,137.5
6.790,-73.403,124.5
6.108,-74.151,32.1
6.821,-73.194,128.5
6.873,-73.320,121.3
7.542,-73.099,147.7
6.828,-73.192,140.2
6.820,-73.224,143.6
6.685,-73.233,103.3
6.614,-73.248,143.5
6.743,-73.102,145.7
7.343,-73.200,132.0
6.770,-73.178,150.1
6.752,-73.133,138.3
6.703,-73.126,147.3
6.799,-73.167,144.6
6.780,-73.112,146.0
6.819,-73.110,141.7
6.743,-73.135,148.3
6.815,-73.148,148.0
6.820,-73.147,147.3
6.420,-73.324,128.0
6.800,-73.126,145.6
6.652,-73.190,138.0
6.758,-73.153,152.4
6.767,-73.173,144.0
6.732,-73.529,108.5
6.799,-73.161,144.0
6.795,-73.337,127.3
6.767,-73.169,151.6
6.795,-73.122,152.9
6.949,-73.021,142.5
6.864,-73.277,125.8
6.782,-73.094,141.5
6.812,-73.145,143.0
6.779,-73.171,142.0
6.809,-73.131,143.0
6.792,-73.179,148.5
6.761,-73.145,146.1
6.808,-73.133,144.8
6.772,-73.121,151.8
6.728,-73.153,145.5
6.777,-73.155,142.0
6.796,-73.161,145.8
7.365,-73.189,128.9
6.747,-73.140,135.0
6.762,-73.129,146.1
6.791,-73.162,148.0
6.825,-73.136,148.1
6.726,-73.189,153.3
6.786,-73.134,145.2
6.804,-73.154,146.0
6.769,-73.103,148.9
6.810,-73.144,149.6
6.760,-73.122,145.2
6.793,-73.143,150.1
6.748,-73.159,140.1
6.477,-73.570,105.8
6.789,-73.181,146.1
6.842,-73.155,139.8
6.819,-73.156,148.5
6.767,-73.143,146.5
6.748,-73.053,141.2
6.795,-73.047,130.8
6.792,-73.153,141.3
6.763,-73.108,138.1
6.752,-73.173,150.4
6.721,-73.211,151.7
6.791,-73.167,144.0
6.282,-73.727,99.1
6.759,-73.166,150.6
6.007,-73.703,115.4
6.818,-73.159,142.8
6.784,-73.075,148.7
6.751,-73.141,142.5
6.831,-73.153,147.5
6.813,-73.064,148.1
6.779,-73.092,145.5
6.779,-73.142,148.0
6.787,-73.188,145.0
6.804,-73.158,142.7
6.744,-73.179,132.1
6.761,-73.175,141.3
6.864,-72.922,144.2
6.735,-73.214,151.3
6.774,-73.143,149.7
6.770,-73.160,142.2
6.805,-73.163,143.3
6.795,-73.116,148.0
6.766,-73.122,141.2
6.688,-73.217,145.9
6.769,-73.125,141.5
6.775,-73.105,146.0
6.819,-73.143,148.0
6.781,-73.121,146.5
6.797,-73.018,145.4
6.786,-73.161,150.8
6.797,-73.178,141.5
6.723,-73.191,146.8
6.793,-73.159,138.7
6.750,-73.133,144.8
6.811,-73.130,144.6
6.825,-73.203,139.5
6.837,-73.147,144.5
6.743,-73.202,146.0
6.724,-73.094,144.0
6.839,-73.063,148.0
6.803,-73.147,145.9
6.816,-73.143,146.0
6.756,-73.103,140.0
6.669,-73.335,154.0
6.744,-73.152,150.1
6.763,-73.054,143.4
6.827,-73.169,146.6
6.791,-73.108,141.6
6.841,-72.944,145.6
6.790,-73.162,152.1
6.803,-73.105,142.0
6.773,-73.047,141.5
6.817,-73.119,140.7
6.850,-73.150,142.0
6.784,-73.216,153.3
6.548,-73.466,115.1
6.806,-73.147,141.4
6.087,-73.670,117.2
6.825,-73.173,141.8
