Latitud,Longitud
6.821,-73.100
6.796,-73.047
6.784,-73.160
6.784,-73.131
6.792,-73.169
6.723,-73.136
6.758,-73.224
6.775,-73.120
6.777,-73.059
6.807,-73.086
7.205,-74.115
7.081,-73.309
6.785,-73.100
6.803,-73.130
6.778,-73.146
6.764,-73.151
6.814,-73.156
6.831,-73.166
6.756,-72.919
6.819,-73.120
6.190,-73.674
6.710,-73.482
6.805,-73.038
6.778,-72.912
6.774,-73.089
6.801,-73.112
6.750,-73.204
6.765,-73.137
7.229,-73.066
6.802,-73.354
6.776,-73.133
6.551,-73.550
6.165,-73.851
6.720,-73.186
6.708,-73.203
5.903,-73.683
6.797,-73.142
6.787,-73.172
6.810,-73.151
5.769,-73.919
6.767,-73.211
6.780,-73.146
6.808,-73.123
6.767,-73.144
6.798,-73.125
6.790,-73.124
6.789,-73.144
6.788,-73.085
6.819,-73.029
6.763,-73.204
6.841,-73.147
6.811,-73.129
6.753,-73.134
7.165,-73.968
6.772,-73.119
6.584,-73.840
6.858,-73.265
6.789,-73.170
6.692,-73.534
6.792,-73.142
6.808,-73.151
6.770,-73.020
6.769,-73.117
6.777,-73.163
6.824,-73.160
6.778,-73.141
6.787,-73.149
6.795,-73.172
6.805,-73.045
5.887,-74.066
6.766,-73.150
6.754,-73.069
6.768,-73.163
6.754,-73.110
6.687,-73.248
6.730,-73.227
6.769,-73.208
6.807,-73.147
6.780,-73.166
6.567,-73.586
6.803,-73.158
6.788,-73.139
6.823,-73.057
6.785,-73.099
5.950,-73.996
6.768,-73.089
6.023,-73.897
6.765,-73.118
6.783,-73.004
6.796,-73.111
6.790,-73.141
6.786,-73.137
6.536,-73.551
6.822,-73.145
6.835,-73.126
6.789,-73.076
6.813,-73.133
6.527,-73.561
6.541,-73.409
6.809,-73.123
6.709,-73.165
6.818,-73.117
6.791,-73.163
6.779,-73.093
6.850,-73.135
6.790,-73.016
6.741,-73.215
5.832,-73.854
7.463,-73.090
6.769,-73.169
6.761,-73.150
6.780,-73.119
6.726,-73.118
6.805,-73.123
6.653,-73.625
6.667,-73.118
7.321,-73.429
6.691,-73.187
7.030,-73.477
6.786,-73.061
6.806,-73.162
6.536,-73.529
6.735,-73.131
6.495,-73.727
6.756,-73.144
6.785,-73.116
6.753,-73.139
6.784,-73.182
6.793,-73.132
6.365,-73.672
6.822,-73.222
6.849,-73.162
6.805,-73.077
5.998,-73.687
6.780,-73.151
6.806,-73.146
7.610,-73.187
6.819,-73.200
6.642,-73.120
6.814,-73.130
6.741,-73.098
5.910,-73.797
6.000,-73.985
6.781,-73.144
6.806,-73.119
6.732,-73.156
6.814,-73.140
6.335,-73.614
6.804,-73.002
6.801,-73.107
6.792,-73.123
6.734,-73.088
6.770,-73.132
6.823,-73.180
6.789,-73.092
6.705,-73.100
6.747,-73.159
6.831,-73.124
6.791,-73.138
7.368,-73.369
6.784,-73.127
6.766,-73.129
6.806,-73.057
6.810,-73.143
6.752,-73.175
6.803,-73.026
6.736,-73.140
6.758,-73.139
6.805,-73.148
6.382,-73.591
6.801,-72.998
6.797,-73.117
6.818,-73.135
6.793,-73.128
6.025,-74.231
6.823,-73.201
6.652,-73.245
6.541,-73.509
6.695,-72.968
6.800,-73.097
6.751,-73.196
6.801,-73.151
6.811,-73.188
6.875,-72.926
6.831,-73.183
7.210,-73.388
6.827,-73.072
6.821,-73.174
6.773,-73.135
6.799,-73.095
6.739,-73.103
6.975,-73.087
6.712,-73.191
6.819,-73.151
6.514,-73.663
6.790,-73.147
6.820,-73.127
6.786,-73.145
6.797,-73.054
6.816,-73.171
6.886,-73.060
6.806,-73.125
7.204,-72.958
6.784,-73.152
6.723,-73.183
6.663,-73.145
6.761,-73.157
6.851,-73.183
6.800,-73.173
6.797,-73.168
7.545,-73.337
6.781,-73.048
6.194,-73.745
6.763,-73.158
6.739,-73.155
7.066,-73.310
6.718,-73.209
6.779,-73.171
6.808,-73.187
6.735,-73.076
6.754,-73.167
6.762,-73.139
6.789,-73.108
7.378,-73.192
6.778,-73.153
6.746,-73.118
6.908,-73.387
6.506,-73.527
6.917,-73.121
6.759,-73.119
6.791,-73.176
6.807,-73.123
6.813,-73.138
6.764,-73.116
