BRR_DOP,BRR_RV2T,BRR_EntropyZ,BRR_EntropyN,BRR_EntropyE,BRR_KurtosisZ,BRR_KurtosisN,BRR_KurtosisE,BRR_SkewZ,BRR_SkewN,BRR_SkewE,BRR_CDZ,BRR_CDN,BRR_CDE,EsSismo
0.106243296,0.477408999,2.702830533,2.703139169,2.382988372,1.177955873,0.815791921,0.282874576,-0.041785033,-0.27121894,0.160748508,0.885978546,0.96285751,0.920505799,1
0.138036088,0.480490203,2.89698705,2.89169956,2.138968771,0.76388627,-0.633035292,-0.643818143,0.38099613,-0.310943971,-0.158032959,0.908935126,0.94667981,0.927854233,0
0.524326453,0.786653144,3.60815171,3.490515441,3.446968091,3.420382152,4.9905514,3.387146509,0.462923618,-0.698354161,-0.442498025,0.261671975,0.862179991,0.762883984,1
0.091180385,0.162117815,1.975786931,2.360101191,2.506053858,-0.153424676,0.342921633,0.087637765,-0.022791898,0.323223367,-0.389141524,0.926007416,0.937806541,0.972616491,0
0.070349235,0.473436265,3.675368637,3.667527129,3.475292424,1.534068826,-0.096554116,-0.328481313,0.097662877,-0.111426544,0.101945414,0.928866683,0.956292246,0.973742916,1
0.412634722,0.040248929,2.709039122,3.576527189,4.012314127,1.567707873,-0.785216395,-0.684549442,0.186886208,0.06983675,-0.467260553,0.953489198,0.97411921,0.945214572,0
0.115148522,0.446744357,3.260795141,3.191600186,2.873200938,1.534991366,-0.314709596,0.333612183,0.224609512,0.535179096,0.288894219,0.946798621,0.926174889,0.887516047,1
0.98376298,0.001079793,2.475625934,4.962990479,3.280723702,-0.98941966,-1.420322753,-0.097085618,0.22807944,0.115412688,0.693437537,0.883228072,0.88853187,0.864528651,0
0.028197261,0.296605026,3.293231326,3.429943471,3.424488924,0.693718149,-0.375433184,-0.176138665,0.178406504,-0.231009495,0.200188555,0.925700581,0.913222413,0.909018941,1
0.175630672,0.122173713,2.687964654,3.439304767,3.141241911,-0.5734726,-0.199897775,1.09062217,-0.287704294,0.189146979,-0.55232031,0.972694143,0.930225789,0.964266583,0
0.105869609,0.522926368,4.023906937,4.00625392,3.93833807,3.860970007,0.454910485,-0.451362213,-0.961691454,-0.216224555,0.156520842,0.932742446,0.938173,0.97101101,1
0.483763417,0.083005582,3.240463246,4.14054188,3.559782285,0.178308731,-0.182643247,-0.555383223,0.235509455,0.338696354,0.417074963,0.943167191,0.95214784,0.936558686,0
0.281086942,0.535253636,3.769225729,4.115176839,3.939405156,5.003315826,2.276763134,4.496609495,-1.14506308,-0.296451533,0.575661555,0.267815067,0.697764498,0.601805271,1
0.248283044,0.055018521,2.045583374,3.145377476,2.862475693,-0.677946213,-0.801094931,-0.204669856,0.080615165,0.040591631,-0.642022205,0.958472864,0.908838566,0.95136838,0
0.192783568,0.516671098,3.418772485,3.503764297,3.194911489,3.165847355,1.569284189,0.584910602,-0.740828623,-0.404721951,0.178618666,0.840648618,0.900126901,0.855087085,1
0.5969062,0.049341335,2.616937987,3.858381823,2.951774073,-0.504669579,-0.361755385,-0.671673032,0.063922878,-0.440260568,-0.193945172,0.935828347,0.940134354,0.911662242,0
0.442124973,0.768093558,4.009499855,3.76972273,3.940212603,3.825211236,8.770046694,4.522337084,0.561373096,0.164953495,-0.204290688,0.293796648,0.369812266,0.420040285,1
0.38966129,0.047480121,1.93628584,3.223535044,2.623817984,-0.52655532,-0.876747541,0.654200219,0.235178654,0.213637029,-0.142857356,0.950245906,0.938996624,0.923267374,0
0.058072672,0.459929147,3.46816454,3.4364529,3.12908623,1.034580424,0.061482229,0.446433239,0.459330387,-0.256037033,0.040430953,0.950814489,0.942565133,0.935774238,1
